id,branch_code,name,created_at,updated_at
1,000,SUPPORTCENTER,"2026-01-08 00:07:39","2026-01-08 00:07:39"
2,001,Embu,"2026-01-08 00:07:39","2026-01-08 00:07:39"
3,001,Runyenjes,"2026-01-08 00:07:39","2026-01-08 00:07:39"
4,002,Kiritiri,"2026-01-08 00:07:39","2026-01-08 00:07:39"
5,002,Siakago,"2026-01-08 00:07:39","2026-01-08 00:07:39"
6,003,Mwea,"2026-01-08 00:07:39","2026-01-08 00:07:39"
7,004,Kerugoya,"2026-01-08 00:07:39","2026-01-08 00:07:39"
8,005,Karatina,"2026-01-08 00:07:39","2026-01-08 00:07:39"
9,005,Nanyuki,"2026-01-08 00:07:39","2026-01-08 00:07:39"
10,005,Nyeri,"2026-01-08 00:07:39","2026-01-08 00:07:39"
11,006,Nyahururu,"2026-01-08 00:07:39","2026-01-08 00:07:39"
12,007,Naivasha,"2026-01-08 00:07:39","2026-01-08 00:07:39"
13,007,Nakuru,"2026-01-08 00:07:39","2026-01-08 00:07:39"
14,008,Muranga,"2026-01-08 00:07:39","2026-01-08 00:07:39"
15,008,Thika,"2026-01-08 00:07:39","2026-01-08 00:07:39"
16,009,Kasarani,"2026-01-08 00:07:39","2026-01-08 00:07:39"
17,009,Nairobi,"2026-01-08 00:07:39","2026-01-08 00:07:39"
18,009,Rongai,"2026-01-08 00:07:39","2026-01-08 00:07:39"
19,009,Utawala,"2026-01-08 00:07:39","2026-01-08 00:07:39"
20,010,Kiambu,"2026-01-08 00:07:39","2026-01-08 00:07:39"
21,010,Kikuyu,"2026-01-08 00:07:39","2026-01-08 00:07:39"
22,010,Limuru,"2026-01-08 00:07:39","2026-01-08 00:07:39"
23,011,Kitengela,"2026-01-08 00:07:39","2026-01-08 00:07:39"
24,012,Machakos,"2026-01-08 00:07:39","2026-01-08 00:07:39"
25,012,Masii,"2026-01-08 00:07:39","2026-01-08 00:07:39"
26,013,Tala,"2026-01-08 00:07:39","2026-01-08 00:07:39"
27,014,Makueni,"2026-01-08 00:07:39","2026-01-08 00:07:39"
28,015,Matuu,"2026-01-08 00:07:39","2026-01-08 00:07:39"
29,015,Mwingi,"2026-01-08 00:07:39","2026-01-08 00:07:39"
30,016,Kitui,"2026-01-08 00:07:39","2026-01-08 00:07:39"
31,016,Nzombe,"2026-01-08 00:07:39","2026-01-08 00:07:39"
32,017,Kibwezi,"2026-01-08 00:07:39","2026-01-08 00:07:39"
33,017,Taveta,"2026-01-08 00:07:39","2026-01-08 00:07:39"
34,017,Voi,"2026-01-08 00:07:39","2026-01-08 00:07:39"
35,018,Emali,"2026-01-08 00:07:39","2026-01-08 00:07:39"
36,018,Loitoktok,"2026-01-08 00:07:39","2026-01-08 00:07:39"
37,019,Chuka,"2026-01-08 00:07:39","2026-01-08 00:07:39"
38,019,Marimanti,"2026-01-08 00:07:39","2026-01-08 00:07:39"
39,020,Nkubu,"2026-01-08 00:07:39","2026-01-08 00:07:39"
40,021,Meru,"2026-01-08 00:07:39","2026-01-08 00:07:39"
41,022,Laare,"2026-01-08 00:07:39","2026-01-08 00:07:39"
42,022,Maua,"2026-01-08 00:07:39","2026-01-08 00:07:39"
43,023,Agency,"2026-01-08 00:07:39","2026-01-08 00:07:39"
